title,author,genre,rating,mood_tags
Atomic Habits,Author of Atomic Habits,self-help,3.8,"motivational, calm, uplifting"
The Power of Now,Author of The Power of No,self-help,4.0,"motivational, calm, uplifting"
Think and Grow Rich,Author of Think and Grow ,self-help,4.8,"motivational, calm, uplifting"
Deep Work,Author of Deep Work,self-help,4.6,"motivational, calm, uplifting"
The 7 Habits,Author of The 7 Habits,self-help,3.6,"motivational, calm, uplifting"
Mindset,Author of Mindset,self-help,4.1,"motivational, calm, uplifting"
Ikigai,Author of Ikigai,self-help,3.5,"motivational, calm, uplifting"
The Subtle Art,Author of The Subtle Art,self-help,4.2,"motivational, calm, uplifting"
You Are a Badass,Author of You Are a Badas,self-help,4.5,"motivational, calm, uplifting"
Can't Hurt Me,Author of Can't Hurt Me,self-help,3.7,"motivational, calm, uplifting"
Milk and Honey,Author of Milk and Honey,poetry,3.9,"emotional, reflective, calm"
The Sun and Her Flowers,Author of The Sun and Her,poetry,4.1,"emotional, reflective, calm"
Leaves of Grass,Author of Leaves of Grass,poetry,4.9,"emotional, reflective, calm"
Ariel,Author of Ariel,poetry,5.0,"emotional, reflective, calm"
The Waste Land,Author of The Waste Land,poetry,3.6,"emotional, reflective, calm"
Rupi Kaur Vol 2,Author of Rupi Kaur Vol 2,poetry,4.6,"emotional, reflective, calm"
Rumi Poems,Author of Rumi Poems,poetry,4.1,"emotional, reflective, calm"
Ocean Vuong Collection,Author of Ocean Vuong Col,poetry,4.1,"emotional, reflective, calm"
Mary Oliver Devotions,Author of Mary Oliver Dev,poetry,4.6,"emotional, reflective, calm"
Poemsia,Author of Poemsia,poetry,4.9,"emotional, reflective, calm"
Into the Wild,Author of Into the Wild,adventure,4.9,"exciting, energetic, brave"
The Alchemist,Author of The Alchemist,adventure,4.4,"exciting, energetic, brave"
Wild,Author of Wild,adventure,4.0,"exciting, energetic, brave"
Touching the Void,Author of Touching the Vo,adventure,4.7,"exciting, energetic, brave"
Born to Run,Author of Born to Run,adventure,3.9,"exciting, energetic, brave"
Endurance,Author of Endurance,adventure,4.3,"exciting, energetic, brave"
In Cold Blood,Author of In Cold Blood,adventure,4.0,"exciting, energetic, brave"
Kon-Tiki,Author of Kon-Tiki,adventure,4.5,"exciting, energetic, brave"
Into Thin Air,Author of Into Thin Air,adventure,3.9,"exciting, energetic, brave"
The Lost City of Z,Author of The Lost City o,adventure,3.8,"exciting, energetic, brave"
Gone Girl,Author of Gone Girl,thriller,4.9,"tense, dark, gripping"
The Girl with the Dragon Tattoo,Author of The Girl with t,thriller,3.7,"tense, dark, gripping"
Big Little Lies,Author of Big Little Lies,thriller,4.3,"tense, dark, gripping"
The Silent Patient,Author of The Silent Pati,thriller,3.8,"tense, dark, gripping"
Behind Closed Doors,Author of Behind Closed D,thriller,3.6,"tense, dark, gripping"
The Woman in the Window,Author of The Woman in th,thriller,3.6,"tense, dark, gripping"
Sharp Objects,Author of Sharp Objects,thriller,3.8,"tense, dark, gripping"
In the Woods,Author of In the Woods,thriller,4.8,"tense, dark, gripping"
The Da Vinci Code,Author of The Da Vinci Co,thriller,3.9,"tense, dark, gripping"
Rebecca,Author of Rebecca,thriller,4.9,"tense, dark, gripping"
Pride and Prejudice,Author of Pride and Preju,romance,4.4,"warm, emotional, hopeful"
The Notebook,Author of The Notebook,romance,4.2,"warm, emotional, hopeful"
Me Before You,Author of Me Before You,romance,4.4,"warm, emotional, hopeful"
Outlander,Author of Outlander,romance,4.3,"warm, emotional, hopeful"
The Hating Game,Author of The Hating Game,romance,4.6,"warm, emotional, hopeful"
It Ends with Us,Author of It Ends with Us,romance,3.9,"warm, emotional, hopeful"
Beach Read,Author of Beach Read,romance,4.0,"warm, emotional, hopeful"
The Kiss Quotient,Author of The Kiss Quotie,romance,4.8,"warm, emotional, hopeful"
People We Meet on Vacation,Author of People We Meet ,romance,4.9,"warm, emotional, hopeful"
Bridgerton,Author of Bridgerton,romance,4.8,"warm, emotional, hopeful"
To Kill a Mockingbird,Author of To Kill a Mocki,literary fiction,4.1,"reflective, emotional, deep"
1984,Author of 1984,literary fiction,4.7,"reflective, emotional, deep"
The Great Gatsby,Author of The Great Gatsb,literary fiction,4.2,"reflective, emotional, deep"
